gloss,path
BURLINGTON2024825,media/SG ASL Dictionary/ASL B/SG ASL Burlington 2024-8-25 Upload/Documentation/SG ASL Burlington 2024-8-25 CC.mp4
BATHROOM,media/SG ASL Dictionary/ASL B/SG ASL Bathroom 3 2024-2-4 Upload/Documentation/SG ASL Bathroom 3 2024-2-4 CC.mp4
BEFORE(PASTALT),"media/SG ASL Dictionary/ASL B/SG ASL Before (Past, Alt) 1 2024-3-9 Upload/Documentation/SG ASL Before (Past, Alt) 1 2024-3-9 CC.mp4"
BENEATH(ALT)2024325,media/SG ASL Dictionary/ASL B/SG ASL Beneath (Alt) 2024-3-25 Upload/Documentation/SG ASL Beneath (Alt) 2024-3-25 CC.mp4
BOARDCOMMITEE2024529,media/SG ASL Dictionary/ASL B/SG ASL Board Commitee 2024-5-29 Upload/Documentation/SG ASL Board Commitee 2024-5-29 CC.mp4
BARRAGE(QUESTION),media/SG ASL Dictionary/ASL B/SG ASL Barrage (Question) 2 2024-1-17 Upload/Documentation/SG ASL Barrage (Question) 2 2024-1-17 CC.mp4
BAD20231214,media/SG ASL Dictionary/ASL B/SG ASL Bad 2023-12-14 Upload/Documentation/SG ASL Bad 2023-12-14 CC.mp4
BACKGROUND,media/SG ASL Dictionary/ASL B/SG ASL Background 2 2023-12-5 Upload/Documentation/SG ASL Background 2 2023-12-5 CC.mp4
BACON,media/SG ASL Dictionary/ASL B/SG ASL Bacon 3 2023-12-11 Upload/Documentation/SG ASL Bacon 3 2023-12-11 CC.mp4
BLOSSOM2024519,media/SG ASL Dictionary/ASL B/SG ASL Blossom 2024-5-19 Upload/Documentation/SG ASL Blossom 2024-5-19 CC.mp4
BYEOTHER202497,media/SG ASL Dictionary/ASL B/SG ASL Bye Other 2024-9-7 Upload/Documentation/SG ASL Bye Other 2024-9-7 CC.mp4
BACKGROUND(HISTORY),media/SG ASL Dictionary/ASL B/SG ASL Background (History) 2 2023-12-5 Upload/Documentation/SG ASL Background (History) 2 2023-12-5 CC.mp4
BREEZEALT2024726,media/SG ASL Dictionary/ASL B/SG ASL Breeze Alt 2024-7-26 Upload/Documentation/SG ASL Breeze Alt 2024-7-26 CC.mp4
BUDDHIST2024812,media/SG ASL Dictionary/ASL B/SG ASL Buddhist 2024-8-12 Upload/Documentation/SG ASL Buddhist 2024-8-12 CC.mp4
BURKA2024824,media/SG ASL Dictionary/ASL B/SG ASL Burka 2024-8-24 Upload/Documentation/SG ASL Burka 2024-8-24 CC.mp4
BREAKUP,media/SG ASL Dictionary/ASL B/SG ASL Breakup 2 2024-7-22 Upload/Documentation/SG ASL Breakup 2 2024-7-22 CC.mp4
BESTOW202445,media/SG ASL Dictionary/ASL B/SG ASL Bestow 2024-4-5 Upload/Documentation/SG ASL Bestow 2024-4-5 CC.mp4
BACK(SPINE)ALT,media/SG ASL Dictionary/ASL B/SG ASL Back (Spine) Alt 3 2023-11-30 Upload/Documentation/SG ASL Back (Spine) Alt 3 2023-11-30 CC.mp4
BLOSSOMALT2024519,media/SG ASL Dictionary/ASL B/SG ASL Blossom Alt 2024-5-19 Upload/Documentation/SG ASL Blossom Alt 2024-5-19 CC.mp4
BECAME,media/SG ASL Dictionary/ASL B/SG ASL Became 1 2024-2-25 Upload/Documentation/SG ASL Became 1 2024-2-25 CC.mp4
BUTTERFLY202494,media/SG ASL Dictionary/ASL B/SG ASL Butterfly 2024-9-4 Upload/Documentation/SG ASL Butterfly 2024-9-4 CC.mp4
BOXINGGLOVE,media/SG ASL Dictionary/ASL B/SG ASL Boxing Glove 2 2024-7-4 Upload/Documentation/SG ASL Boxing Glove 2 2024-7-4 CC.mp4
BEER202435,media/SG ASL Dictionary/ASL B/SG ASL Beer 2024-3-5 Upload/Documentation/SG ASL Beer 2024-3-5 CC.mp4
BREATHEDEEP2024724,media/SG ASL Dictionary/ASL B/SG ASL Breathe Deep 2024-7-24 Upload/Documentation/SG ASL Breathe Deep 2024-7-24 CC.mp4
BIRTHALT2024424,media/SG ASL Dictionary/ASL B/SG ASL Birth Alt 2024-4-24 Upload/Documentation/SG ASL Birth Alt 2024-4-24 CC.mp4
BACKPACK(ALT)2023126,media/SG ASL Dictionary/ASL B/SG ASL Backpack (Alt) 2023-12-6 Upload/Documentation/SG ASL Backpack (Alt) 2023-12-6 CC.mp4
BREAKDOWN2024715,media/SG ASL Dictionary/ASL B/SG ASL Breakdown 2024-7-15 Upload/Documentation/SG ASL Breakdown 2024-7-15 CC.mp4
BEG(VARIANT),media/SG ASL Dictionary/ASL B/SG ASL Beg (Variant) 1 2024-3-10 Upload/Documentation/SG ASL Beg (Variant) 1 2024-3-10 CC.mp4
BRAIN202478,media/SG ASL Dictionary/ASL B/SG ASL Brain 2024-7-8 Upload/Documentation/SG ASL Brain 2024-7-8 CC.mp4
BEAR(BIRTH),media/SG ASL Dictionary/ASL B/SG ASL Bear (Birth) 2 2024-2-16 Upload/Documentation/SG ASL Bear (Birth) 2 2024-2-16 CC.mp4
BLEED202456,media/SG ASL Dictionary/ASL B/SG ASL Bleed 2024-5-6 Upload/Documentation/SG ASL Bleed 2024-5-6 CC.mp4
BENDIN2024324,media/SG ASL Dictionary/ASL B/SG ASL Bend in 2024-3-24 Upload/Documentation/SG ASL Bend in 2024-3-24 CC.mp4
BAIT,media/SG ASL Dictionary/ASL B/SG ASL Bait 1 2023-12-17 Upload/Documentation/SG ASL Bait 1 2023-12-17 CC.mp4
BANDIT(ALT)202412,media/SG ASL Dictionary/ASL B/SG ASL Bandit (Alt) 2024-1-2 Upload/Documentation/SG ASL Bandit (Alt) 2024-1-2 CC.mp4
BAN,media/SG ASL Dictionary/ASL B/SG ASL Ban 1 2023-12-23 Upload/Documentation/SG ASL Ban 1 2023-12-23 CC.mp4
BELITTLE(VARIANT)2024316,media/SG ASL Dictionary/ASL B/SG ASL Belittle (variant) 2024-3-16 Upload/Documentation/SG ASL Belittle (variant) 2024-3-16 CC.mp4
BEHIND(VARIANT)2024313,media/SG ASL Dictionary/ASL B/SG ASL Behind (Variant) 2024-3-13 Upload/Documentation/SG ASL Behind (Variant) 2024-3-13 CC.mp4
BELLY(ALT)2024318,media/SG ASL Dictionary/ASL B/SG ASL Belly (Alt) 2024-3-18 Upload/Documentation/SG ASL Belly (Alt) 2024-3-18 CC.mp4
BLISTER,media/SG ASL Dictionary/ASL B/SG ASL Blister 2 2024-5-11 Upload/Documentation/SG ASL Blister 2 2024-5-11 CC.mp4
BONE202468,media/SG ASL Dictionary/ASL B/SG ASL Bone 2024-6-8 Upload/Documentation/SG ASL Bone 2024-6-8 CC.mp4
BATHROOM(SHORT),media/SG ASL Dictionary/ASL B/SG ASL Bathroom (Short) 2 2024-2-4 Upload/Documentation/SG ASL Bathroom (Short) 2 2024-2-4 CC.mp4
BLEEDALT202456,media/SG ASL Dictionary/ASL B/SG ASL Bleed Alt 2024-5-6 Upload/Documentation/SG ASL Bleed Alt 2024-5-6 CC.mp4
BACKUP2023125,media/SG ASL Dictionary/ASL B/SG ASL Back Up 2023-12-5 Upload/Documentation/SG ASL Back Up 2023-12-5 CC.mp4
BRINGTOMEALT2024728,media/SG ASL Dictionary/ASL B/SG ASL Bring to Me Alt 2024-7-28 Upload/Documentation/SG ASL Bring to Me Alt 2024-7-28 CC.mp4
BENIN,media/SG ASL Dictionary/ASL B/SG ASL Benin 2 2024-3-29 Upload/Documentation/SG ASL Benin 2 2024-3-29 CC.mp4
BEACH(ALT),media/SG ASL Dictionary/ASL B/SG ASL Beach (Alt) 1 2024-2-12 Upload/Documentation/SG ASL Beach (Alt) 1 2024-2-12 CC.mp4
BLUFF2024524,media/SG ASL Dictionary/ASL B/SG ASL Bluff 2024-5-24 Upload/Documentation/SG ASL Bluff 2024-5-24 CC.mp4
BRAILLEALT202478,media/SG ASL Dictionary/ASL B/SG ASL Braille Alt 2024-7-8 Upload/Documentation/SG ASL Braille Alt 2024-7-8 CC.mp4
BENCH,media/SG ASL Dictionary/ASL B/SG ASL Bench 2 2024-3-22 Upload/Documentation/SG ASL Bench 2 2024-3-22 CC.mp4
BID(OFFER)2024413,media/SG ASL Dictionary/ASL B/SG ASL Bid (Offer) 2024-4-13 Upload/Documentation/SG ASL Bid (Offer) 2024-4-13 CC.mp4
BUSY202493,media/SG ASL Dictionary/ASL B/SG ASL Busy 2024-9-3 Upload/Documentation/SG ASL Busy 2024-9-3 CC.mp4
BUSINESSSTRATEGY,media/SG ASL Dictionary/ASL B/SG ASL Business Strategy 1 2024-9-2 Upload/Documentation/SG ASL Business Strategy 1 2024-9-2 CC.mp4
BOARDGAME2024531,media/SG ASL Dictionary/ASL B/SG ASL Boardgame 2024-5-31 Upload/Documentation/SG ASL Boardgame 2024-5-31 CC.mp4
BRING2024728,media/SG ASL Dictionary/ASL B/SG ASL Bring 2024-7-28 Upload/Documentation/SG ASL Bring 2024-7-28 CC.mp4
BAR(BLOCK)202419,media/SG ASL Dictionary/ASL B/SG ASL Bar (Block) 2024-1-9 Upload/Documentation/SG ASL Bar (Block) 2024-1-9 CC.mp4
BUNNY2024820,media/SG ASL Dictionary/ASL B/SG ASL Bunny 2024-8-20 Upload/Documentation/SG ASL Bunny 2024-8-20 CC.mp4
BALIFF,media/SG ASL Dictionary/ASL B/SG ASL Baliff 3 2023-12-18 Upload/Documentation/SG ASL Baliff 3 2023-12-18 CC.mp4
BANKRUPT(SAD)202416,media/SG ASL Dictionary/ASL B/SG ASL Bankrupt (Sad) 2024-1-6 Upload/Documentation/SG ASL Bankrupt (Sad) 2024-1-6 CC.mp4
BONDOTHER202467,media/SG ASL Dictionary/ASL B/SG ASL Bond OTher 2024-6-7 Upload/Documentation/SG ASL Bond OTher 2024-6-7 CC.mp4
BASEBALLGLOVE(ALT)2024121,media/SG ASL Dictionary/ASL B/SG ASL Baseball Glove (Alt) 2024-1-21 Upload/Documentation/SG ASL Baseball Glove (Alt) 2024-1-21 CC.mp4
BELL(DOORBELL),media/SG ASL Dictionary/ASL B/SG ASL Bell (Doorbell) 1 2024-3-16 Upload/Documentation/SG ASL Bell (Doorbell) 1 2024-3-16 CC.mp4
BACKSTROKE,media/SG ASL Dictionary/ASL B/SG ASL Backstroke 1 2023-12-10 Upload/Documentation/SG ASL Backstroke 1 2023-12-10 CC.mp4
BURST2024831,media/SG ASL Dictionary/ASL B/SG ASL Burst 2024-8-31 Upload/Documentation/SG ASL Burst 2024-8-31 CC.mp4
BANTER(ALT),media/SG ASL Dictionary/ASL B/SG ASL Banter (Alt) 2 2024-1-7 Upload/Documentation/SG ASL Banter (Alt) 2 2024-1-7 CC.mp4
BELLIGERENT,media/SG ASL Dictionary/ASL B/SG ASL Belligerent 2 2024-3-17 Upload/Documentation/SG ASL Belligerent 2 2024-3-17 CC.mp4
BANDAID20231230,media/SG ASL Dictionary/ASL B/SG ASL Band Aid 2023-12-30 Upload/Documentation/SG ASL Band Aid 2023-12-30 CC.mp4
BROADMINDED202482,media/SG ASL Dictionary/ASL B/SG ASL Broadminded 2024-8-2 Upload/Documentation/SG ASL Broadminded 2024-8-2 CC.mp4
BOUNDARY,media/SG ASL Dictionary/ASL B/SG ASL Boundary 2 2024-6-28 Upload/Documentation/SG ASL Boundary 2 2024-6-28 CC.mp4
BUCKET2024811,media/SG ASL Dictionary/ASL B/SG ASL Bucket 2024-8-11 Upload/Documentation/SG ASL Bucket 2024-8-11 CC.mp4
BRO,media/SG ASL Dictionary/ASL B/SG ASL Bro 2 2024-8-1 Upload/Documentation/SG ASL Bro 2 2024-8-1 CC.mp4
BLACKBOARD202451,media/SG ASL Dictionary/ASL B/SG ASL Blackboard 2024-5-1 Upload/Documentation/SG ASL Blackboard 2024-5-1 CC.mp4
BRANCHALT2024710,media/SG ASL Dictionary/ASL B/SG ASL Branch Alt 2024-7-10 Upload/Documentation/SG ASL Branch Alt 2024-7-10 CC.mp4
BAPTISM(ALT),media/SG ASL Dictionary/ASL B/SG ASL Baptism (Alt) 2 2024-1-8 Upload/Documentation/SG ASL Baptism (Alt) 2 2024-1-8 CC.mp4
BETHLEHEM202445,media/SG ASL Dictionary/ASL B/SG ASL Bethlehem 2024-4-5 Upload/Documentation/SG ASL Bethlehem 2024-4-5 CC.mp4
BED202431,media/SG ASL Dictionary/ASL B/SG ASL Bed 2024-3-1 Upload/Documentation/SG ASL Bed 2024-3-1 CC.mp4
BUMPY2024818,media/SG ASL Dictionary/ASL B/SG ASL Bumpy 2024-8-18 Upload/Documentation/SG ASL Bumpy 2024-8-18 CC.mp4
BALTIMORE20231221,media/SG ASL Dictionary/ASL B/SG ASL Baltimore 2023-12-21 Upload/Documentation/SG ASL Baltimore 2023-12-21 CC.mp4
BOSSCOMBINED2024623,media/SG ASL Dictionary/ASL B/SG ASL Boss Combined 2024-6-23 Upload/Documentation/SG ASL Boss Combined 2024-6-23 CC.mp4
BITEVARIANT2024426,media/SG ASL Dictionary/ASL B/SG ASL Bite Variant 2024-4-26 Upload/Documentation/SG ASL Bite Variant 2024-4-26 CC.mp4
BAWL(YELLATME)2024211,"media/SG ASL Dictionary/ASL B/SG ASL Bawl (Yell, at me) 2024-2-11 Upload/Documentation/SG ASL Bawl (Yell, at me) 2024-2-11 CC.mp4"
BUMBLE,media/SG ASL Dictionary/ASL B/SG ASL Bumble 2 2024-8-15 Upload/Documentation/SG ASL Bumble 2 2024-8-15 CC.mp4
BORROWFROMSOMEONE2024623,media/SG ASL Dictionary/ASL B/SG ASL Borrow From Someone 2024-6-23 Upload/Documentation/SG ASL Borrow From Someone 2024-6-23 CC.mp4
BRAVE2024711,media/SG ASL Dictionary/ASL B/SG ASL Brave 2024-7-11 Upload/Documentation/SG ASL Brave 2024-7-11 CC.mp4
BLUSTERY2024529,media/SG ASL Dictionary/ASL B/SG ASL Blustery 2024-5-29 Upload/Documentation/SG ASL Blustery 2024-5-29 CC.mp4
BOTHOFUSVARIANT2024624,media/SG ASL Dictionary/ASL B/SG ASL Both of Us Variant 2024-6-24 Upload/Documentation/SG ASL Both of Us Variant 2024-6-24 CC.mp4
BRATALT2024710,media/SG ASL Dictionary/ASL B/SG ASL Brat Alt 2024-7-10 Upload/Documentation/SG ASL Brat Alt 2024-7-10 CC.mp4
BANDMUSIC202411,media/SG ASL Dictionary/ASL B/SG ASL Band Music 2024-1-1 Upload/Documentation/SG ASL Band Music 2024-1-1 CC.mp4
BLOWDRY2024520,media/SG ASL Dictionary/ASL B/SG ASL Blow Dry 2024-5-20 Upload/Documentation/SG ASL Blow Dry 2024-5-20 CC.mp4
BLANK,media/SG ASL Dictionary/ASL B/SG ASL Blank 1 2024-5-4 Upload/Documentation/SG ASL Blank 1 2024-5-4 CC.mp4
BLUECOLLAR,media/SG ASL Dictionary/ASL B/SG ASL Blue Collar 2 2024-5-22 Upload/Documentation/SG ASL Blue Collar 2 2024-5-22 CC.mp4
BOSSY2024624,media/SG ASL Dictionary/ASL B/SG ASL Bossy 2024-6-24 Upload/Documentation/SG ASL Bossy 2024-6-24 CC.mp4
BYTHEWAYALT202496,media/SG ASL Dictionary/ASL B/SG ASL By the Way Alt 2024-9-6 Upload/Documentation/SG ASL By the Way Alt 2024-9-6 CC.mp4
BRA2024713,media/SG ASL Dictionary/ASL B/SG ASL Bra 2024-7-13 Upload/Documentation/SG ASL Bra 2024-7-13 CC.mp4
BANJO202414,media/SG ASL Dictionary/ASL B/SG ASL Banjo 2024-1-4 Upload/Documentation/SG ASL Banjo 2024-1-4 CC.mp4
BANDAID(ALT),media/SG ASL Dictionary/ASL B/SG ASL Band Aid (Alt) 1 2023-12-30 Upload/Documentation/SG ASL Band Aid (Alt) 1 2023-12-30 CC.mp4
BROOK202483,media/SG ASL Dictionary/ASL B/SG ASL Brook 2024-8-3 Upload/Documentation/SG ASL Brook 2024-8-3 CC.mp4
BAR(PREVENT)2024110,media/SG ASL Dictionary/ASL B/SG ASL Bar (Prevent) 2024-1-10 Upload/Documentation/SG ASL Bar (Prevent) 2024-1-10 CC.mp4
BRINGSOMEWHERE2024728,media/SG ASL Dictionary/ASL B/SG ASL Bring Somewhere 2024-7-28 Upload/Documentation/SG ASL Bring Somewhere 2024-7-28 CC.mp4
BAMBOOZLE(ALT),media/SG ASL Dictionary/ASL B/SG ASL Bamboozle (Alt) 2 2023-12-22 Upload/Documentation/SG ASL Bamboozle (Alt) 2 2023-12-22 CC.mp4
BLUNDER2024527,media/SG ASL Dictionary/ASL B/SG ASL Blunder 2024-5-27 Upload/Documentation/SG ASL Blunder 2024-5-27 CC.mp4
BOWARCHERYALT2024630,media/SG ASL Dictionary/ASL B/SG ASL Bow Archery Alt 2024-6-30 Upload/Documentation/SG ASL Bow Archery Alt 2024-6-30 CC.mp4
BONDAGE202468,media/SG ASL Dictionary/ASL B/SG ASL Bondage 2024-6-8 Upload/Documentation/SG ASL Bondage 2024-6-8 CC.mp4
BATHINGSUIT(1PIECE)202422,media/SG ASL Dictionary/ASL B/SG ASL Bathing suit (1 Piece) 2024-2-2 Upload/Documentation/SG ASL Bathing suit (1 Piece) 2024-2-2 CC.mp4
BOTH,media/SG ASL Dictionary/ASL B/SG ASL Both 3 2024-6-24 Upload/Documentation/SG ASL Both 3 2024-6-24 CC.mp4
BETWEEN(ALT)202446,media/SG ASL Dictionary/ASL B/SG ASL Between (Alt) 2024-4-6 Upload/Documentation/SG ASL Between (Alt) 2024-4-6 CC.mp4
BOOSTVARIANT2024613,media/SG ASL Dictionary/ASL B/SG ASL Boost Variant 2024-6-13 Upload/Documentation/SG ASL Boost Variant 2024-6-13 CC.mp4
BUS202494,media/SG ASL Dictionary/ASL B/SG ASL Bus 2024-9-4 Upload/Documentation/SG ASL Bus 2024-9-4 CC.mp4
BOAT202462,media/SG ASL Dictionary/ASL B/SG ASL Boat 2024-6-2 Upload/Documentation/SG ASL Boat 2024-6-2 CC.mp4
BURGER2024821,media/SG ASL Dictionary/ASL B/SG ASL Burger 2024-8-21 Upload/Documentation/SG ASL Burger 2024-8-21 CC.mp4
BREAKPAUSE2024714,media/SG ASL Dictionary/ASL B/SG ASL Break Pause 2024-7-14 Upload/Documentation/SG ASL Break Pause 2024-7-14 CC.mp4
BURGUNDY2024822,media/SG ASL Dictionary/ASL B/SG ASL Burgundy 2024-8-22 Upload/Documentation/SG ASL Burgundy 2024-8-22 CC.mp4
BUNCH2024819,media/SG ASL Dictionary/ASL B/SG ASL Bunch 2024-8-19 Upload/Documentation/SG ASL Bunch 2024-8-19 CC.mp4
BANISH(ALT),media/SG ASL Dictionary/ASL B/SG ASL Banish (Alt) 1 2024-1-4 Upload/Documentation/SG ASL Banish (Alt) 1 2024-1-4 CC.mp4
BEWITCHOTHER,media/SG ASL Dictionary/ASL B/SG ASL Bewitch Other 1 2024-4-9 Upload/Documentation/SG ASL Bewitch Other 1 2024-4-9 CC.mp4
BELLOW,media/SG ASL Dictionary/ASL B/SG ASL Bellow 2 2024-3-17 Upload/Documentation/SG ASL Bellow 2 2024-3-17 CC.mp4
BURNDOWN2024827,media/SG ASL Dictionary/ASL B/SG ASL Burn Down 2024-8-27 Upload/Documentation/SG ASL Burn Down 2024-8-27 CC.mp4
BYPASS202497,media/SG ASL Dictionary/ASL B/SG ASL Bypass 2024-9-7 Upload/Documentation/SG ASL Bypass 2024-9-7 CC.mp4
BOOKISH,media/SG ASL Dictionary/ASL B/SG ASL Bookish 1 2024-6-10 Upload/Documentation/SG ASL Bookish 1 2024-6-10 CC.mp4
BROOD202483,media/SG ASL Dictionary/ASL B/SG ASL Brood 2024-8-3 Upload/Documentation/SG ASL Brood 2024-8-3 CC.mp4
BAWL(CRY)2024210,media/SG ASL Dictionary/ASL B/SG ASL Bawl (Cry) 2024-2-10 Upload/Documentation/SG ASL Bawl (Cry) 2024-2-10 CC.mp4
BINDI,media/SG ASL Dictionary/ASL B/SG ASL Bindi 1 2024-4-20 Upload/Documentation/SG ASL Bindi 1 2024-4-20 CC.mp4
BADREPUATION,media/SG ASL Dictionary/ASL B/SG ASL Bad repuation 2 2023-12-12 Upload/Documentation/SG ASL Bad repuation 2 2023-12-12 CC.mp4
BATTER202428,media/SG ASL Dictionary/ASL B/SG ASL Batter 2024-2-8 Upload/Documentation/SG ASL Batter 2024-2-8 CC.mp4
BIOLOGY,media/SG ASL Dictionary/ASL B/SG ASL Biology 2 2024-4-23 Upload/Documentation/SG ASL Biology 2 2024-4-23 CC.mp4
BUSFS202491,media/SG ASL Dictionary/ASL B/SG ASL Bus FS 2024-9-1 Upload/Documentation/SG ASL Bus FS 2024-9-1 CC.mp4
BUMPVOLLEYBALL2024818,media/SG ASL Dictionary/ASL B/SG ASL Bump Volley Ball 2024-8-18 Upload/Documentation/SG ASL Bump Volley Ball 2024-8-18 CC.mp4
BIBLE2024410,media/SG ASL Dictionary/ASL B/SG ASL Bible 2024-4-10 Upload/Documentation/SG ASL Bible 2024-4-10 CC.mp4
BYNEAR202496,media/SG ASL Dictionary/ASL B/SG ASL By Near 2024-9-6 Upload/Documentation/SG ASL By Near 2024-9-6 CC.mp4
BOO2024619,media/SG ASL Dictionary/ASL B/SG ASL Boo 2024-6-19 Upload/Documentation/SG ASL Boo 2024-6-19 CC.mp4
BREASTALT2024722,media/SG ASL Dictionary/ASL B/SG ASL Breast Alt 2024-7-22 Upload/Documentation/SG ASL Breast Alt 2024-7-22 CC.mp4
BLACK202452,media/SG ASL Dictionary/ASL B/SG ASL Black 2024-5-2 Upload/Documentation/SG ASL Black 2024-5-2 CC.mp4
BEAR,media/SG ASL Dictionary/ASL B/SG ASL Bear 2 2024-2-19 Upload/Documentation/SG ASL Bear 2 2024-2-19 CC.mp4
BENGALDESH,media/SG ASL Dictionary/ASL B/SG ASL Bengaldesh 2 2024-3-29 Upload/Documentation/SG ASL Bengaldesh 2 2024-3-29 CC.mp4
BOOZE2024618,media/SG ASL Dictionary/ASL B/SG ASL Booze 2024-6-18 Upload/Documentation/SG ASL Booze 2024-6-18 CC.mp4
BENEVOLENT,media/SG ASL Dictionary/ASL B/SG ASL Benevolent 2 2024-3-29 Upload/Documentation/SG ASL Benevolent 2 2024-3-29 CC.mp4
BANISH,media/SG ASL Dictionary/ASL B/SG ASL Banish 1 2024-1-4 Upload/Documentation/SG ASL Banish 1 2024-1-4 CC.mp4
BLANDALT202453,media/SG ASL Dictionary/ASL B/SG ASL Bland Alt 2024-5-3 Upload/Documentation/SG ASL Bland Alt 2024-5-3 CC.mp4
BURYVARIANT202491,media/SG ASL Dictionary/ASL B/SG ASL Bury Variant 2024-9-1 Upload/Documentation/SG ASL Bury Variant 2024-9-1 CC.mp4
BURGULAROTHER,media/SG ASL Dictionary/ASL B/SG ASL Burgular Other 2 2024-8-22 Upload/Documentation/SG ASL Burgular Other 2 2024-8-22 CC.mp4
BECKON(VARIANT)2024226,media/SG ASL Dictionary/ASL B/SG ASL Beckon (Variant) 2024-2-26 Upload/Documentation/SG ASL Beckon (Variant) 2024-2-26 CC.mp4
BANNER(ALT)202416,media/SG ASL Dictionary/ASL B/SG ASL Banner (Alt) 2024-1-6 Upload/Documentation/SG ASL Banner (Alt) 2024-1-6 CC.mp4
BASELESS,media/SG ASL Dictionary/ASL B/SG ASL Baseless 2 2024-1-21 Upload/Documentation/SG ASL Baseless 2 2024-1-21 CC.mp4
BEWITCH,media/SG ASL Dictionary/ASL B/SG ASL Bewitch 2 Handed 2024-4-8 Upload/Documentation/SG ASL Bewitch 2 Handed 2024-4-8 CC.mp4
BENEFIT(VARIANT)2024326,media/SG ASL Dictionary/ASL B/SG ASL Benefit (Variant) 2024-3-26 Upload/Documentation/SG ASL Benefit (Variant) 2024-3-26 CC.mp4
BILLOW2024419,media/SG ASL Dictionary/ASL B/SG ASL Billow 2024-4-19 Upload/Documentation/SG ASL Billow 2024-4-19 CC.mp4
BANG,media/SG ASL Dictionary/ASL B/SG ASL Bang 1 2024-1-4 Upload/Documentation/SG ASL Bang 1 2024-1-4 CC.mp4
BAPTISM(VARIANT)202419,media/SG ASL Dictionary/ASL B/SG ASL Baptism (Variant) 2024-1-9 Upload/Documentation/SG ASL Baptism (Variant) 2024-1-9 CC.mp4
BAT(WOOD),media/SG ASL Dictionary/ASL B/SG ASL Bat (Wood) 1 2024-2-1 Upload/Documentation/SG ASL Bat (Wood) 1 2024-2-1 CC.mp4
BELOW(OTHER)2024320,media/SG ASL Dictionary/ASL B/SG ASL Below (Other) 2024-3-20 Upload/Documentation/SG ASL Below (Other) 2024-3-20 CC.mp4
BOWLINGALT,media/SG ASL Dictionary/ASL B/SG ASL Bowling Alt 2 2024-7-2 Upload/Documentation/SG ASL Bowling Alt 2 2024-7-2 CC.mp4
BEAT(ME),media/SG ASL Dictionary/ASL B/SG ASL Beat (Me) 2 2024-2-21 Upload/Documentation/SG ASL Beat (Me) 2 2024-2-21 CC.mp4
BASKET,media/SG ASL Dictionary/ASL B/SG ASL Basket 3 2024-1-25 Upload/Documentation/SG ASL Basket 3 2024-1-25 CC.mp4
BRICK,media/SG ASL Dictionary/ASL B/SG ASL Brick 2 2024-7-26 Upload/Documentation/SG ASL Brick 2 2024-7-26 CC.mp4
BOYFRIEND,media/SG ASL Dictionary/ASL B/SG ASL Boyfriend 2 2024-7-4 Upload/Documentation/SG ASL Boyfriend 2 2024-7-4 CC.mp4
BROKEMONEY202482,media/SG ASL Dictionary/ASL B/SG ASL Broke Money 2024-8-2 Upload/Documentation/SG ASL Broke Money 2024-8-2 CC.mp4
BLANKET202454,media/SG ASL Dictionary/ASL B/SG ASL Blanket 2024-5-4 Upload/Documentation/SG ASL Blanket 2024-5-4 CC.mp4
BOARDDIRECTORS2024529,media/SG ASL Dictionary/ASL B/SG ASL Board Directors 2024-5-29 Upload/Documentation/SG ASL Board Directors 2024-5-29 CC.mp4
BATHROBE202424,media/SG ASL Dictionary/ASL B/SG ASL Bathrobe 2024-2-4 Upload/Documentation/SG ASL Bathrobe 2024-2-4 CC.mp4
BOOK,media/SG ASL Dictionary/ASL B/SG ASL Book 2 2024-6-9 Upload/Documentation/SG ASL Book 2 2024-6-9 CC.mp4
BEG(ALT)202439,media/SG ASL Dictionary/ASL B/SG ASL Beg (Alt) 2024-3-9 Upload/Documentation/SG ASL Beg (Alt) 2024-3-9 CC.mp4
BACKLASH,media/SG ASL Dictionary/ASL B/SG ASL Backlash 3 2023-12-6 Upload/Documentation/SG ASL Backlash 3 2023-12-6 CC.mp4
BOMB202466,media/SG ASL Dictionary/ASL B/SG ASL Bomb 2024-6-6 Upload/Documentation/SG ASL Bomb 2024-6-6 CC.mp4
BOSSVARIANT2024624,media/SG ASL Dictionary/ASL B/SG ASL Boss Variant 2024-6-24 Upload/Documentation/SG ASL Boss Variant 2024-6-24 CC.mp4
BICYCLE2024412,media/SG ASL Dictionary/ASL B/SG ASL Bicycle 2024-4-12 Upload/Documentation/SG ASL Bicycle 2024-4-12 CC.mp4
BURNUP,media/SG ASL Dictionary/ASL B/SG ASL Burn Up 2 2024-8-28 Upload/Documentation/SG ASL Burn Up 2 2024-8-28 CC.mp4
BOUNDARYLINE2024630,media/SG ASL Dictionary/ASL B/SG ASL Boundary Line 2024-6-30 Upload/Documentation/SG ASL Boundary Line 2024-6-30 CC.mp4
BOOTS2024618,media/SG ASL Dictionary/ASL B/SG ASL Boots 2024-6-18 Upload/Documentation/SG ASL Boots 2024-6-18 CC.mp4
BOG(STUCK)202462,media/SG ASL Dictionary/ASL B/SG ASL Bog (Stuck) 2024-6-2 Upload/Documentation/SG ASL Bog (Stuck) 2024-6-2 CC.mp4
BAWL(YELL)2024211,media/SG ASL Dictionary/ASL B/SG ASL Bawl (Yell) 2024-2-11 Upload/Documentation/SG ASL Bawl (Yell) 2024-2-11 CC.mp4
